#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2023-11-02 13:48:04 EDT     (caww01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 08332010 RIO GRANDE FLOODWAY NEAR BERNARDO, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8332010,841,8/13/1968,,Yes,Borland,USGS,5.58,3470,Poor,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,3470,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,842,8/14/1968,,Yes,Asquith,USGS,5.92,3030,Good,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,3030,695,889,3.41,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,843,8/16/1968,,Yes,Diaz,USGS,5.32,3280,Good,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,3280,485,759,4.32,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,844,8/23/1968,,Yes,Baca,USGS,,1020,Good,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1020,175,280,3.64,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,845,8/28/1968,,Yes,Baca,USGS,,316,Good,,,,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,316,130,130,2.43,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,869,10/24/1969,,Yes,Baca,USGS,5.06,1080,Good,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,1080,145,285,3.8,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,870,10/31/1969,,Yes,Ortiz,USGS,4.2,754,Good,,,Unspecifed,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,754,266,314,2.4,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,871,11/6/1969,,Yes,Madrid,USGS,4.13,445,Good,,,,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,445,221,197,2.26,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,872,11/12/1969,,Yes,Kuck,USGS,4.52,546,Fair,,,,NONE,1,Imported Channel 1,OTHR,other,,546,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,8332010,873,11/19/1969,,Yes,Diaz,USGS,,397,Fair,,,Clear,NONE,1,Imported Channel 1,UNSP,QSCMM,unkno,397,150,203,2,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
